iter	MAPE	RMSE	R2	MAE
0	0.05045153293	0.9035086356	0.02877903001	0.7037667627
1	0.04958641807	0.8897247718	0.05818674145	0.6916209795
2	0.04877142711	0.8770730759	0.08478107068	0.680195114
3	0.04797141145	0.8646178712	0.1105903217	0.6689635494
4	0.04720805829	0.852911365	0.1345116269	0.6582063479
5	0.04647901447	0.8413063972	0.1579035864	0.64797249
6	0.04580534972	0.8308897069	0.1786274343	0.6384679221
7	0.04508059982	0.8197568958	0.2004905663	0.6282829415
8	0.04440381577	0.8093417009	0.2206774001	0.6187598132
9	0.04374977534	0.799172403	0.2401385849	0.6095799981
10	0.04313343733	0.789534326	0.2583560339	0.6009156366
11	0.04260250436	0.7811011101	0.2741147941	0.5934709319
12	0.04205830998	0.7722755011	0.2904255798	0.5858261002
13	0.041541558	0.7639211407	0.3056946802	0.5785578829
14	0.04105215593	0.7558863637	0.3202230152	0.5716981511
15	0.04055723211	0.7476969445	0.3348728942	0.5647394108
16	0.04011251744	0.7404109935	0.3477724309	0.5584964874
17	0.0396736612	0.7333126466	0.3602183423	0.552324111
18	0.03925843755	0.7266024427	0.3718734623	0.5465194811
19	0.03886638082	0.7201345527	0.3830062941	0.5410313439
20	0.03847315473	0.7134039016	0.3944857118	0.5355267692
21	0.03809269373	0.707091153	0.4051544155	0.5302097463
22	0.0377540061	0.7013085079	0.4148440165	0.5254435065
23	0.03733372575	0.6944381605	0.426252784	0.5195459417
24	0.03691910427	0.687552746	0.4375738861	0.5137314083
25	0.03655398017	0.6814128093	0.4475741129	0.5086267512
26	0.0362332707	0.6761495052	0.4560751453	0.5041406945
27	0.03586372688	0.6699298805	0.4660358093	0.4989583949
28	0.03553308848	0.6643677259	0.4748655754	0.4943143574
29	0.03523279086	0.659104623	0.4831528202	0.4900988755
30	0.03491600085	0.6538196276	0.4914082126	0.4856511362
31	0.03464912431	0.6491183672	0.4986959295	0.481883837
32	0.03438082898	0.6444781244	0.5058374875	0.4781292705
33	0.03411731298	0.6400288999	0.5126369446	0.4744096624
34	0.03386790606	0.6355898094	0.5193739719	0.4709198837
35	0.03365392528	0.6318677101	0.5249867104	0.467941455
36	0.03343111238	0.6278780739	0.5309662762	0.4648255729
37	0.0332691456	0.6246806971	0.5357310837	0.4626051614
38	0.03306316591	0.620863063	0.5413883514	0.4597405654
39	0.03278762225	0.6161559636	0.5483159575	0.4558918609
40	0.03255796187	0.6121020558	0.5542399829	0.4527178428
41	0.03231463514	0.6079332828	0.5602910795	0.449313377
42	0.03207669669	0.6037951698	0.5662567752	0.4460087614
43	0.0318807516	0.6003154991	0.5712416928	0.4433109874
44	0.03167544949	0.5967388131	0.5763355657	0.4404556473
45	0.03149442626	0.5934217806	0.5810324376	0.437911118
46	0.03130908849	0.5900982158	0.5857123011	0.4353474459
47	0.03112834624	0.5869119795	0.590174117	0.4328425032
48	0.03097429841	0.5841090164	0.594079247	0.4307226786
49	0.03082776175	0.5814109246	0.5978206102	0.4286710012
50	0.03067450782	0.5786435002	0.6016401195	0.4265475393
51	0.03053502401	0.5761384154	0.6050818419	0.4246138915
52	0.03039756642	0.5736017381	0.608551753	0.4227108266
53	0.03027471109	0.5712257189	0.6117880132	0.4210027446
54	0.03015240662	0.5689602645	0.6148611681	0.4192973903
55	0.03003497298	0.5668322565	0.6177367497	0.4176812827
56	0.02991629953	0.5646320639	0.6206985447	0.4160302158
57	0.02981840119	0.5627946866	0.6231631087	0.4146587711
58	0.02972603903	0.5609634222	0.6256114804	0.4133813354
59	0.02964719755	0.5593889157	0.6277101908	0.4123013699
60	0.02956381491	0.5576269318	0.6300518016	0.4111516511
61	0.02945909305	0.5555504105	0.6328019376	0.4097152534
62	0.02937049437	0.5537855557	0.6351312381	0.4084706939
63	0.02929536735	0.5523321616	0.6370438998	0.4074420444
64	0.02923566505	0.5510644985	0.6387080363	0.4066035367
65	0.02915305024	0.5493258699	0.6409842186	0.4054793248
66	0.02906785793	0.5476303932	0.6431969799	0.4043200849
67	0.02898429104	0.5460427288	0.6452628342	0.4031654792
68	0.02890619548	0.544566234	0.647178653	0.4020963781
69	0.02882493028	0.542998488	0.6492071961	0.4009816296
70	0.02874290433	0.5414601806	0.6511919632	0.3998607749
71	0.02867255601	0.5399648857	0.6531158377	0.3989033519
72	0.02860741964	0.5385833539	0.6548886138	0.3980196536
73	0.02854300764	0.5373817733	0.6564267845	0.3971456379
74	0.0285070332	0.5365615302	0.6574748233	0.3966500264
75	0.02844450208	0.5353346135	0.6590394878	0.3957968591
76	0.02838906657	0.534200363	0.6604827904	0.3950464627
77	0.02833238424	0.5330113232	0.6619925243	0.3942739809
78	0.02828282228	0.5318971299	0.6634041718	0.3935829621
79	0.02823574298	0.5308940569	0.6646725067	0.3929447636
80	0.0281919806	0.5299867386	0.6658177022	0.3923580737
81	0.02814868569	0.5290617077	0.6669832378	0.3917862388
82	0.02809429347	0.5279958258	0.6683237203	0.3910470762
83	0.02805407607	0.5271249995	0.669416889	0.390500969
84	0.02801378234	0.5262836542	0.6704713356	0.3899378071
